iter	Passed	Remaining
896	8433	5669
897	8442	5659
898	8452	5650
899	8461	5641
900	8471	5631
901	8480	5622
902	8489	5612
903	8499	5603
904	8508	5593
905	8518	5584
906	8528	5575
907	8537	5566
908	8546	5556
909	8555	5547
910	8565	5537
911	8574	5528
912	8583	5518
913	8592	5509
914	8602	5499
915	8611	5490
916	8621	5481
917	8631	5471
918	8640	5462
919	8649	5452
920	8658	5442
921	8666	5433
922	8677	5424
923	8687	5415
924	8696	5406
925	8706	5397
926	8716	5388
927	8725	5378
928	8735	5368
929	8745	5360
930	8755	5350
931	8764	5341
932	8773	5331
933	8782	5322
934	8792	5313
935	8802	5304
936	8812	5294
937	8821	5285
938	8830	5275
939	8840	5266
940	8849	5256
941	8858	5247
942	8868	5238
943	8877	5228
944	8887	5219
945	8896	5209
946	8905	5200
947	8914	5190
948	8924	5181
949	8933	5172
950	8943	5162
951	8953	5153
952	8962	5144
953	8971	5134
954	8981	5125
955	8991	5116
956	9000	5106
957	9009	5097
958	9019	5087
959	9029	5078
960	9038	5069
961	9048	5060
962	9057	5050
963	9066	5041
964	9076	5032
965	9085	5022
966	9094	5012
967	9104	5003
968	9113	4994
969	9123	4984
970	9132	4975
971	9142	4966
972	9150	4956
973	9160	4947
974	9169	4937
975	9179	4928
976	9188	4918
977	9198	4909
978	9207	4900
979	9216	4890
980	9225	4880
981	9235	4871
982	9245	4862
983	9254	4853
984	9264	4843
985	9272	4833
986	9282	4824
987	9292	4815
988	9301	4805
989	9310	4796
990	9319	4786
991	9328	4777
992	9339	4768
993	9348	4758
994	9358	4750
995	9367	4740
996	9376	4730
997	9385	4721
998	9395	4711
999	9404	4702
1000	9413	4692
1001	9423	4683
1002	9432	4673
1003	9441	4664
1004	9451	4655
1005	9460	4645
1006	9469	4635
1007	9478	4626
1008	9488	4617
1009	9496	4607
1010	9505	4597
1011	9514	4587
1012	9523	4578
1013	9532	4568
1014	9542	4559
1015	9551	4550
1016	9560	4540
1017	9570	4531
1018	9580	4522
1019	9589	4512
1020	9598	4503
1021	9612	4496
1022	9622	4486
1023	9632	4477
1024	9642	4468
1025	9652	4459
1026	9662	4449
1027	9671	4440
1028	9681	4431
1029	9690	4421
1030	9699	4412
1031	9707	4402
1032	9716	4392
1033	9725	4383
1034	9735	4373
1035	9745	4364
1036	9754	4355
1037	9763	4345
1038	9772	4336
1039	9782	4326
1040	9791	4317
1041	9802	4308
1042	9811	4298
1043	9821	4289
1044	9830	4280
1045	9839	4270
1046	9848	4260
1047	9857	4251
1048	9866	4241
1049	9875	4232
1050	9885	4223
1051	9893	4213
1052	9903	4204
1053	9912	4194
1054	9922	4185
1055	9931	4175
1056	9941	4166
1057	9951	4157
1058	9960	4147
1059	9969	4138
1060	9978	4128
1061	9987	4119
1062	9996	4109
1063	10005	4099
1064	10014	4090
1065	10024	4081
1066	10033	4071
1067	10044	4062
1068	10055	4054
1069	10064	4044
1070	10073	4035
1071	10083	4025
1072	10092	4016
1073	10101	4006
1074	10111	3997
1075	10120	3987
1076	10129	3978
1077	10139	3969
1078	10148	3959
1079	10157	3949
